MI,No.overlap
0.102037451,1223
0.545206218,5412
1.077653584,10437
0.076515797,978
0.252755101,2640
0.111760747,1310
0.399298664,4017
0.228875002,2410
0.208265775,2211
0.115436554,1337
0.179334487,1936
0.179250616,1935
0.221253562,2327
0.212733702,2247
0.798585597,7732
0.386133395,3868
0.14925302,1650
0.636540177,6206
0.109333515,1276
0.670985851,6519
0.104763984,1230
0.407346032,4048
0.373294488,3728
0.548255376,5356
0.115833294,1331
0.329381065,3316
0.267903003,2742
0.369105148,3678
0.047851565,696
0.344146061,3444
0.014006254,382
0.309473819,3122
0.178252393,1904
0.118403317,1349
0.122454003,1386
0.147732763,1618
0.299920712,3024
1.162811597,10997
0.161357213,1741
0.393781612,3887
0.61343729,5904
0.086173028,1044
0.043405459,649
0.571730212,5502
0.208779158,2166
0.724488693,6891
0.357118171,3513
0.091788281,1086
0.4264917,4128
0.166792027,1765
0.148456676,1593
0.268023199,2677
0.082916012,998
0.187861849,1946
0.509822401,4857
0.160605502,1698
0.160362996,1694
0.231040899,2330
0.489385949,4660
1.033313816,9562
0.757162268,7071
0.344515554,3350
0.254368,2535
0.127350223,1391
0.191268932,1966
0.257615845,2563
0.09207097,1072
0.03145258,526
0.063116574,810
0.19184993,1964
0.368381081,3546
0.83558601,7732
0.47027332,4448
0.135600186,1455
0.279308878,2739
0.435565487,4122
0.038653566,586
0.209363588,2104
0.137116426,1461
0.884396257,8096
0.161721482,1676
0.262810281,2572
0.337773819,3234
0.211281669,2112
0.1914242,1935
0.45221899,4243
0.227697939,2251
0.196470439,1974
0.30083737,2894
0.19315357,1936
0.502615175,4654
0.280318364,2699
0.605513293,5546
0.548271462,5040
0.260344494,2513
0.44811948,4154
0.227528034,2226
0.311813312,2961
0.655526591,5963
0.258927926,2499
0.146171902,1514
0.124330272,1320
0.310038549,2937
0.679698101,6152
0.029349857,492
0.037313934,561
0.28657017,2728
0.23972763,2320
0.352048809,3292
0.3250265,3052
0.032141597,513
0.515814318,4681
0.099333116,1090
0.235146104,2260
0.368137117,3405
0.073102461,862
0.227309885,2186
0.020239348,407
0.215501056,2082
0.380608188,3497
0.390808222,3584
0.419097652,3809
0.101751023,1100
0.331215555,3056
0.189959801,1850
0.379831267,3465
0.196031451,1900
0.279632807,2611
0.503654267,4517
0.145948941,1473
0.188905859,1838
0.347008697,3179
0.178423725,1746
0.285122156,2652
0.876800911,7669
0.377686133,3426
0.130750242,1336
0.11131208,1171
0.028900431,474
0.35276897,3211
0.242884819,2280
0.177026407,1724
0.358464954,3255
0.364256596,3301
0.233138839,2194
0.016009254,364
0.13835156,1394
0.510418622,4525
0.209746865,1994
0.552901552,4878
0.289880762,2666
0.185757801,1790
0.374709361,3375
0.199426683,1902
0.027874277,462
0.314644136,2865
0.124741774,1273
0.022015118,412
0.324444695,2944
0.488862015,4316
0.145966228,1447
0.15046153,1483
0.464159222,4097
0.284620995,2597
0.057735878,707
0.231177023,2146
0.429484188,3792
0.210555258,1974
0.202969938,1907
0.235074055,2173
0.222671991,2069
0.294944647,2667
0.193944215,1830
0.27826492,2527
0.022004668,406
0.352449304,3132
0.314560633,2815
0.176946242,1681
0.438541786,3834
0.194294815,1822
0.021318753,399
0.260168286,2363
0.188882255,1776
0.207055403,1925
0.599650039,5147
0.326844656,2906
0.201515847,1877
0.36540708,3220
0.137459668,1349
0.288884263,2587
0.685334193,5830
0.551570958,4732
0.394721922,3449
0.348673944,3070
0.326266656,2886
0.119697401,1199
0.205216099,1895
0.17782072,1671
0.151380939,1455
0.138831344,1351
0.246191732,2224
0.120400564,1200
0.03185169,480
0.864947578,7250
0.32763264,2875
0.111204768,1119
0.422211564,3632
0.426583119,3663
0.030274718,463
0.195426346,1792
0.907182288,7515
0.226853942,2036
0.15592098,1464
0.066995574,752
0.131897826,1270
0.159074266,1485
0.326695035,2820
0.332746982,2862
0.113675341,1117
0.034007424,485
0.78935626,6464
0.409216543,3452
0.21956308,1951
0.353457935,3006
0.116433166,1131
0.561150091,4625
0.27380777,2364
0.284856378,2449
0.258791049,2237
0.20783958,1838
0.749431093,6070
0.596296374,4873
0.182686191,1640
0.042902609,547
0.477133712,3935
0.188039652,1679
0.015650617,334
0.031604016,458
0.317514452,2685
0.391792808,3263
0.904990634,7248
0.081371081,844
0.744279498,5987
0.186591052,1659
0.222960268,1940
0.295778897,2504
0.410407716,3391
0.16965785,1524
0.032030137,458
0.205180652,1794
0.10111381,989
0.330385556,2754
0.23045391,1984
0.235814476,2024
0.363674795,3007
0.196284357,1716
0.150975622,1368
0.633759977,5065
0.226616805,1941
0.419593165,3414
0.225773725,1931
0.783707905,6185
0.439333245,3558
0.355987507,2922
0.294109356,2450
0.420950145,3410
0.298095173,2475
0.468041918,3767
0.323375903,2666
0.256066508,2154
0.418444718,3387
0.15828088,1409
0.169930255,1497
0.333409157,2735
0.25484934,2139
0.341880343,2794
0.152491849,1358
0.282762056,2342
0.413336201,3326
0.381437477,3084
0.328078031,2681
0.33917717,2764
0.362937767,2941
0.31015813,2543
0.23839683,2002
0.161138492,1414
0.154812,1366
0.140220809,1256
0.1959512,1674
0.249801612,2077
0.081499329,814
0.183118301,1573
0.166902348,1450
0.126173305,1145
0.471954402,3721
0.18962901,1616
0.159860942,1394
0.308325427,2500
0.412469069,3275
0.16878597,1459
0.043752826,528
0.103731317,974
1.040984469,7944
0.047257397,553
0.174302824,1495
0.251912483,2070
0.452752787,3556
0.228722826,1895
0.409639369,3234
0.774537576,5931
0.223349174,1851
0.542271775,4200
0.222100374,1835
0.199411636,1667
0.212309248,1761
0.170996724,1457
0.26303462,2133
0.409605968,3209
0.08818203,847
0.207634937,1722
0.506654497,3914
0.271790994,2192
0.432705454,3368
0.246880849,2001
0.468819828,3617
0.580769932,4427
0.327935889,2585
0.215127538,1761
0.779001585,5857
0.303528484,2401
0.199531839,1642
0.251036108,2014
0.119995662,1065
0.156130084,1325
0.237816956,1915
0.125496932,1103
0.02972453,410
0.200227924,1637
0.057504581,609
0.393333634,3018
