gene_id,cell type,type
FOSL2,CD4,OSE
MEX3C,CD4,OSE
FTH1,CD4,OSE
DPM3,CD4,OSE
ZBED2,CD4,OSE
ITPRIPL1,CD4,OSE
ACSS1,CD4,OSE
RABGEF1,CD4,OSE
EFNA1,CD4,OSE
EIF2C2,CD4,OSE
LGALS8,CD4,OSE
GPR68,CD4,OSE
SP140L,CD4,OSE
NUP50,CD4,OSE
MYL12B,CD4,OSE
SNRK,CD4,OSE
RARRES3,CD4,OSE
CHURC1,CD4,OSE
LINC00578,CD4,OSE
ZMIZ2,CD4,OSE
TRNT1,CD4,OSE
EFHD2,CD4,OSE
UBE2B,CD4,OSE
DTX1,CD4,OSE
BAHD1,CD4,OSE
SNX5,CD4,OSE
FOXO3,CD4,OSE
CMAHP,CD4,OSE
NLRC5,CD4,OSE
GLTSCR1L,CD4,OSE
NLRC3,CD4,OSE
SEL1L3,CD4,OSE
HADV29S1,CD4,OSE
RNF170,CD4,OSE
FAS,CD4,OSE
BCLAF1,CD4,OSE
TGOLN2,CD4,OSE
GLT25D2,CD4,OSE
GAK,CD4,OSE
PI16,CD4,OSE
MALT1,CD4,OSE
WDFY2,CD4,OSE
ANXA1,CD4,OSE
PRAGMIN,CD4,OSE
TPST2,CD4,OSE
GIT2,CD4,OSE
C17orf68,CD4,OSE
LY9,CD4,OSE
MTPN,CD4,OSE
TMEM194B,CD4,OSE
PPP6R1,CD4,OSE
GTPBP8,CD4,OSE
MCM9,CD4,OSE
ARAP2,CD4,OSE
UPP1,CD4,OSE
MAP3K7IP2,CD4,OSE
C10orf104,CD4,OSE
CASP1,CD4,OSE
ACRC,CD4,OSE
C14orf143,CD4,OSE
BCL3,CD4,OSE
C14ORF182,CD4,OSE
FAM198A,CD4,OSE
KLHL25,CD4,OSE
FLJ45079,CD4,OSE
MFHAS1,CD4,OSE
GLG1,CD4,OSE
LYRM1,CD4,OSE
LINC00598,CD4,OSE
CD40LG,CD4,OSE
PLIN2,CD4,OSE
LOC100506190,CD4,OSE
GRK6,CD4,OSE
ZNF148,CD4,OSE
RSBN1,CD4,OSE
GNB2L1,CD4,OSE
MICAL1,CD4,OSE
SUSD4,CD4,OSE
SUSD3,CD4,OSE
PFAS,CD4,OSE
CD28,CD4,OSE
SCAMP2,CD4,OSE
MTM1,CD4,OSE
ALOX5,CD4,OSE
CD27,CD4,OSE
OASL,CD4,OSE
ZNF367,CD4,OSE
OSTF1,CD4,OSE
HCLS1,CD4,OSE
C7orf44,CD4,OSE
TSPAN5,CD4,OSE
FAM193A,CD4,OSE
C1orf38,CD4,OSE
ACSL5,CD4,OSE
RNF4,CD4,OSE
SIN3A,CD4,OSE
ELP3,CD4,OSE
BATF,CD4,OSE
TRIM38,CD4,OSE
TRAK2,CD4,OSE
RASSF3,CD4,OSE
NFKBIZ,CD4,OSE
MOBKL2C,CD4,OSE
C21orf29,CD4,OSE
CHD6,CD4,OSE
ASXL1,CD4,OSE
TMEM187,CD4,OSE
TMEM245,CD4,OSE
LOC729085,CD4,OSE
MYD88,CD4,OSE
DCHS1,CD4,OSE
C16orf62,CD4,OSE
FAM118A,CD4,OSE
ARPC2,CD4,OSE
SGTB,CD4,OSE
KIAA0040,CD4,OSE
LRMP,CD4,OSE
KIF3B,CD4,OSE
NPIPL2,CD4,OSE
TRIM41,CD4,OSE
GPC2,CD4,OSE
MPI,CD4,OSE
BC041007,CD4,OSE
ITM2A,CD4,OSE
ELOVL5,CD4,OSE
WDR67,CD4,OSE
ACTR3,CD4,OSE
RNF122,CD4,OSE
FNBP1,CD4,OSE
BTN3A2,CD4,OSE
FAM120A,CD4,OSE
ATP5L,CD4,OSE
RBM14-RBM4,CD4,OSE
NCOR1,CD4,OSE
RAB8B,CD4,OSE
RAG1AP1,CD4,OSE
MPZL3,CD4,OSE
TBK1,CD4,OSE
TRMT5,CD4,OSE
C11orf75,CD4,OSE
SACM1L,CD4,OSE
PHIP,CD4,OSE
NP,CD4,OSE
NFKB1,CD4,OSE
DQ658414,CD4,OSE
SEL1L,CD4,OSE
LRRC8A,CD4,OSE
ARL6IP5,CD4,OSE
BCOR,CD4,OSE
C1orf71,CD4,OSE
TRPS1,CD4,OSE
NUP210L,CD4,OSE
HIRA,CD4,OSE
KIAA0864,CD4,OSE
DAPP1,CD4,OSE
BRE,CD4,OSE
PPP1R21,CD4,OSE
KCTD2,CD4,OSE
C20orf72,CD4,OSE
C21orf63,CD4,OSE
ADAM10,CD4,OSE
MSN,CD4,OSE
PDE9A,CD4,OSE
APOB48R,CD4,OSE
ASAM,CD4,OSE
CECR1,CD4,OSE
UBASH3A,CD4,OSE
RAB35,CD4,OSE
LONRF1,CD4,OSE
CDR2,CD4,OSE
CPNE1,CD4,OSE
PCED1B-AS1,CD4,OSE
TATDN2,CD4,OSE
LDHB,CD4,OSE
ZNF410,CD4,OSE
NR3C2,CD4,OSE
GLIPR2,CD4,OSE
HOOK3,CD4,OSE
GTF2H1,CD4,OSE
OSTCL,CD4,OSE
EVI2B,CD4,OSE
RASA1,CD4,OSE
FAM63A,CD4,OSE
